year,tmID,franchID,confID,playoff,lost,GP,powerRanking
7,PHO,PHO,WE,N,16,34,55.750511908441005
8,PHO,PHO,WE,Y,11,34,66.67563603202245
9,PHO,PHO,WE,N,18,34,57.80844555571661
10,PHO,PHO,WE,Y,11,34,65.63941155884612
1,POR,POR,WE,N,22,32,46.278605575617426
2,POR,POR,WE,N,21,32,41.43854491564679
3,POR,POR,WE,N,16,32,45.029536982219184
1,SAC,SAC,WE,Y,11,32,49.533379014060095
2,SAC,SAC,WE,Y,12,32,49.76724722571461
3,SAC,SAC,WE,N,18,32,41.60574993580679
4,SAC,SAC,WE,Y,15,34,41.654928623673165
5,SAC,SAC,WE,Y,16,34,45.13715955187829
6,SAC,SAC,WE,Y,9,34,47.37018065634017
7,SAC,SAC,WE,Y,13,34,50.478526995377074
8,SAC,SAC,WE,Y,15,34,55.495863450536106
9,SAC,SAC,WE,Y,16,34,57.47868179520248
10,SAC,SAC,WE,N,22,34,54.88672789244343
4,SAS,SAS,WE,N,22,34,37.08050406956696
5,SAS,SAS,WE,N,25,34,39.661240043194496
6,SAS,SAS,WE,N,27,34,35.5569222250966
7,SAS,SAS,WE,N,21,34,45.10316000769203
8,SAS,SAS,WE,Y,14,34,53.198226596016376
9,SAS,SAS,WE,Y,10,34,50.351256350290576
10,SAS,SAS,WE,Y,19,34,49.372296407640086
1,SEA,SEA,WE,N,26,32,34.71251033489058
2,SEA,SEA,WE,N,22,32,34.144421084258646
3,SEA,SEA,WE,Y,15,32,45.31485658200775
4,SEA,SEA,WE,N,16,34,38.85533030731505
5,SEA,SEA,WE,Y,14,34,49.3225972342845
6,SEA,SEA,WE,Y,14,34,48.27544132689372
7,SEA,SEA,WE,Y,16,34,50.96379497703437
8,SEA,SEA,WE,Y,17,34,54.070617737508556
9,SEA,SEA,WE,Y,12,34,48.18899606172294
10,SEA,SEA,WE,Y,14,34,53.689208712416125
1,UTA,SAS,WE,N,14,32,54.48622988108728
2,UTA,SAS,WE,Y,13,32,44.646410987683026
3,UTA,SAS,WE,Y,12,32,54.73877946470244
1,WAS,WAS,EA,Y,18,32,45.878598753659986
2,WAS,WAS,EA,N,22,32,33.22067397946273
3,WAS,WAS,EA,Y,15,32,42.410996302245934
4,WAS,WAS,EA,N,25,34,39.71722800280929
5,WAS,WAS,EA,Y,17,34,42.42875331065187
6,WAS,WAS,EA,N,18,34,39.79903111959891
7,WAS,WAS,EA,Y,16,34,55.863048420084105
8,WAS,WAS,EA,N,18,34,51.91762878326283
9,WAS,WAS,EA,N,24,34,47.32959933019982
10,WAS,WAS,EA,Y,18,34,55.908360078447004
